subject,PO8,time,bsl,stimulus,condition
024,7.0868738111472895e-06,0.12109375,-9.868345016554956e-23,face,intact
024,6.983573539340866e-06,0.1328125,1.6447241694258258e-23,car,scrambled
024,8.849013109249601e-06,0.1298828125,6.578896677703303e-23,face,scrambled
025,1.145762060927983e-05,0.150390625,2.631558671081321e-22,car,intact
025,9.165213894142506e-06,0.1484375,-3.2894483388516515e-23,face,intact
025,7.291702569720081e-06,0.150390625,-1.3157793355406606e-22,car,scrambled
025,7.650482523619976e-06,0.150390625,-2.302613837196156e-22,face,scrambled
026,1.3399000495560378e-05,0.1328125,-1.9736690033109911e-22,car,intact
026,1.079024618402458e-05,0.12890625,5.75653459299039e-23,face,intact
026,1.4784139592337436e-05,0.1328125,0.0,car,scrambled
026,1.591194637906911e-05,0.1337890625,0.0,face,scrambled
027,2.8931313670694286e-06,0.1103515625,-4.934172508277478e-23,car,intact
027,5.776689270816863e-06,0.111328125,0.0,face,intact
027,6.971557464504746e-06,0.1123046875,6.167715635346847e-24,car,scrambled
027,6.326254043959307e-06,0.115234375,0.0,face,scrambled
028,6.361123490686531e-06,0.1416015625,4.934172508277478e-23,car,intact
028,5.191456772296449e-06,0.1162109375,3.2894483388516515e-23,face,intact
028,6.621720621827691e-06,0.150390625,2.467086254138739e-23,car,scrambled
028,7.2669585597852175e-06,0.1484375,0.0,face,scrambled
029,1.3970658956769586e-05,0.150390625,9.868345016554956e-23,car,intact
029,1.88447407977902e-05,0.1416015625,5.921007009932973e-22,face,intact
029,1.711234617637246e-05,0.150390625,-9.868345016554956e-23,car,scrambled
029,1.4129148217070044e-05,0.150390625,-3.2894483388516515e-23,face,scrambled
030,7.814119200990038e-06,0.140625,2.631558671081321e-22,car,intact
030,8.35190934946053e-06,0.119140625,5.139763029455706e-23,face,intact
030,7.396275240151987e-06,0.1279296875,-2.631558671081321e-22,car,scrambled
030,7.034024790280501e-06,0.150390625,-2.631558671081321e-22,face,scrambled
031,6.432658700183665e-06,0.150390625,-2.54932246261003e-22,car,intact
031,3.5920710252266687e-06,0.146484375,-6.578896677703303e-23,face,intact
031,5.14592605422785e-06,0.1201171875,3.2894483388516515e-23,car,scrambled
031,5.331083670989863e-06,0.1259765625,4.934172508277478e-23,face,scrambled
032,9.092911091562021e-06,0.150390625,4.934172508277478e-23,car,intact
032,5.236287257995552e-06,0.14453125,-3.2894483388516515e-23,face,intact
032,5.824086926643535e-06,0.150390625,6.578896677703303e-23,car,scrambled
032,5.66869937088789e-06,0.14453125,1.6447241694258258e-23,face,scrambled
033,1.0758847721880304e-05,0.1103515625,0.0,car,intact
033,1.0255559441164842e-05,0.1298828125,-2.1150124866210229e-22,face,intact
033,1.1431163919158181e-05,0.130859375,2.1381414202535737e-22,car,scrambled
033,1.3608060367130602e-05,0.1201171875,-4.934172508277478e-23,face,scrambled
034,2.0695509683308085e-05,0.1376953125,-9.161627600004796e-23,car,intact
034,2.0195152597060146e-05,0.1259765625,-6.578896677703303e-23,face,intact
034,2.861026186693978e-05,0.1357421875,3.2894483388516515e-23,car,scrambled
034,2.849368486029198e-05,0.13671875,-1.6447241694258258e-23,face,scrambled
035,5.413183996609001e-06,0.140625,-4.1118104235645647e-23,car,intact
035,4.910708566183521e-06,0.1103515625,-1.151306918598078e-22,face,intact
035,6.553201235363399e-06,0.1484375,7.401258762416217e-23,car,scrambled
035,6.810524401787672e-06,0.13671875,0.0,face,scrambled
036,1.060231022049519e-05,0.1455078125,6.578896677703303e-23,car,intact
036,1.1828929438252198e-05,0.1171875,-3.2894483388516515e-23,face,intact
036,1.55417404014615e-05,0.1494140625,-3.2894483388516515e-23,car,scrambled
036,1.4065802818539552e-05,0.150390625,2.467086254138739e-23,face,scrambled
037,1.4069148073602725e-05,0.1328125,6.578896677703303e-23,car,intact
037,1.4077898493831917e-05,0.126953125,8.223620847129129e-23,face,intact
037,1.941058685050422e-05,0.1376953125,1.3157793355406606e-22,car,scrambled
037,2.0538689535594166e-05,0.1416015625,0.0,face,scrambled
038,-4.0211056753699745e-06,0.150390625,0.0,car,intact
038,-1.1774424078542778e-05,0.150390625,-1.6447241694258258e-23,face,intact
038,-4.523936727163921e-06,0.150390625,9.045982931842042e-23,car,scrambled
038,3.928751902710698e-06,0.1220703125,-4.934172508277478e-23,face,scrambled
039,7.962046459418807e-06,0.150390625,4.934172508277478e-23,car,intact
039,8.55366902152518e-06,0.1484375,-9.045982931842042e-23,face,intact
039,7.223288832436097e-06,0.150390625,-7.401258762416217e-23,car,scrambled
039,1.0173488068727922e-05,0.150390625,6.578896677703303e-23,face,scrambled
040,-7.867262539912691e-07,0.125,6.578896677703303e-23,car,intact
040,-4.46714732042765e-06,0.14453125,2.467086254138739e-23,face,intact
040,2.2139579361931843e-06,0.1240234375,-1.9736690033109911e-22,car,scrambled
040,1.6072052726766469e-06,0.119140625,-6.99007772005976e-23,face,scrambled
